effective_date,year,review_type,granularity,customer_category,band,measure,value,unit,pct_change,source_type,source,notes
2012-03-01,2012,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,18.8101,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2012 election year; no change across 3 reviews (Mar/Jun/Sep).
2012-03-01,2012,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,23.8054,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2012 election year; no change across 3 reviews (Mar/Jun/Sep).
2012-06-01,2012,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,31.5311,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2012-06-01,2012,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,18.8101,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2012-06-01,2012,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,23.8054,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2012-09-01,2012,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,31.5311,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2012-09-01,2012,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,18.8101,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2012-09-01,2012,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,23.8054,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2013-10-01,2013,Major (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,56.409,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+62.72% vs Sep 2012 -- the largest percentage change recorded 2010-2020; reduced from an initially proposed 78.9%/58.19% after TUC-led protests.
2013-10-01,2013,Major (increase),blended_average,Residential,all bands (blended),GHp/kWh,33.3211,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+62.72% vs Sep 2012 -- the largest percentage change recorded 2010-2020; reduced from an initially proposed 78.9%/58.19% after TUC-led protests.
2013-10-01,2013,Major (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,42.5878,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+62.72% vs Sep 2012 -- the largest percentage change recorded 2010-2020; reduced from an initially proposed 78.9%/58.19% after TUC-led protests.
2014-01-01,2014,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,61.8977,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+9.73%.
2014-01-01,2014,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,36.5632,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+9.73%.
2014-01-01,2014,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,46.7316,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+9.73%.
2014-04-01,2014,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,69.3812,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+12.09%.
2014-04-01,2014,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,40.98375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+12.09%.
2014-04-01,2014,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,69.9013,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+12.09%.
2014-07-01,2014,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,69.3812,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2014-07-01,2014,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,40.98375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2014-07-01,2014,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,69.9013,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2014-10-01,2014,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,73.9147,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+6.54%.
2014-10-01,2014,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,43.66165,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+6.54%.
2014-10-01,2014,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,55.80415,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+6.54%.
2015-01-01,2015,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,73.9147,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-01-01,2015,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,43.66165,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-01-01,2015,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,55.80415,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-04-01,2015,AAF (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,75.8586,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+2.63%.
2015-04-01,2015,AAF (increase),blended_average,Residential,all bands (blended),GHp/kWh,44.8099,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+2.63%.
2015-04-01,2015,AAF (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,57.2718,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+2.63%.
2015-07-01,2015,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,75.8586,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-07-01,2015,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,44.8099,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-07-01,2015,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,57.2718,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2015-12-01,2015,Major (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+59.2% -- second-largest single increase 2010-2020; residential and non-residential both hit their 2010-2020 peak here (SLT peaked later, Oct 2019)."
2015-12-01,2015,Major (increase),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+59.2% -- second-largest single increase 2010-2020; residential and non-residential both hit their 2010-2020 peak here (SLT peaked later, Oct 2019)."
2015-12-01,2015,Major (increase),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf","+59.2% -- second-largest single increase 2010-2020; residential and non-residential both hit their 2010-2020 peak here (SLT peaked later, Oct 2019)."
2016-04-01,2016,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2016 election year; no change across all reviews (Apr/Jul).
2016-04-01,2016,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2016 election year; no change across all reviews (Apr/Jul).
2016-04-01,2016,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",2016 election year; no change across all reviews (Apr/Jul).
2016-07-01,2016,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2016-07-01,2016,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2016-07-01,2016,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-01-01,2017,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-01-01,2017,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-01-01,2017,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-04-01,2017,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-04-01,2017,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-04-01,2017,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-07-01,2017,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,120.767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-07-01,2017,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,71.3375,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2017-07-01,2017,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,91.1767,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-03-01,2018,Major (decrease),blended_average,Non-Residential,all bands (blended),GHp/kWh,80.341,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",-17.5% residential / -30% non-residential; -22.083% was the lowest (most negative) percentage change recorded 2010-2020.
2018-03-01,2018,Major (decrease),blended_average,Residential,all bands (blended),GHp/kWh,58.8534,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",-17.5% residential / -30% non-residential; -22.083% was the lowest (most negative) percentage change recorded 2010-2020.
2018-03-01,2018,Major (decrease),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,72.656,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",-17.5% residential / -30% non-residential; -22.083% was the lowest (most negative) percentage change recorded 2010-2020.
2018-07-01,2018,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,80.341,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-07-01,2018,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,58.8534,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-07-01,2018,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,72.656,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-10-01,2018,AAF (no change),blended_average,Non-Residential,all bands (blended),GHp/kWh,80.341,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-10-01,2018,AAF (no change),blended_average,Residential,all bands (blended),GHp/kWh,58.8534,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2018-10-01,2018,AAF (no change),blended_average,Special Load Tariff (SLT),LV/MV/HV/Mines (blended),GHp/kWh,72.656,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",
2019-07-01,2019,Major (increase),blended_average,Non-Residential,all bands (blended),GHp/kWh,89.3143,GHp/kWh,,exact_published,"PURC Research Dept, 'A Study on the Trends in Electricity Tariffs in Ghana Between 2010 and 2020' (Dec 2020) https://www.purc.com.gh/attachment/782680-20211129071159.pdf",+11.17%; matches (with minor rounding difference) the 65.4161/89.0422 'old tariff' baseline used in the Sep 2022 major review press release.
